Municipio,idhm2010,gini_r2010,IVS,CODIBGE_com6
330630 Volta Redonda,"0,771","0,514","0,191",330630
330023 Armação dos Búzios,"0,728","0,5462","0,192",330023
330420 Resende,"0,768","0,5319","0,194",330420
330412 Quatis,"0,69","0,4256","0,2",330412
330340 Nova Friburgo,"0,745","0,5153","0,202",330340
330025 Arraial do Cabo,"0,733","0,4808","0,204",330025
330620 Vassouras,"0,714","0,531","0,209",330620
330095 Comendador Levy Gasparian,"0,685","0,4427","0,21",330095
330015 Aperibé,"0,692","0,4521","0,211",330015
330150 Cordeiro,"0,729","0,4826","0,212",330150
330411 Porto Real,"0,713","0,4234","0,212",330411
330220 Itaperuna,"0,73","0,4913","0,215",330220
330210 Itaocara,"0,713","0,5004","0,221",330210
330330 Niterói,"0,837","0,5983","0,224",330330
330452 Rio das Ostras,"0,773","0,5366","0,225",330452
330480 São Fidélis,"0,691","0,4773","0,225",330480
330370 Paraíba do Sul,"0,702","0,5081","0,227",330370
330600 Três Rios,"0,725","0,5315","0,228",330600
330610 Valença,"0,738","0,5243","0,228",330610
330225 Itatiaia,"0,737","0,5223","0,229",330225
330580 Teresópolis,"0,73","0,5696","0,232",330580
330040 Barra Mansa,"0,729","0,4892","0,233",330040
330450 Rio das Flores,"0,68","0,4658","0,233",330450
330187 Iguaba Grande,"0,761","0,567","0,235",330187
330400 Piraí,"0,708","0,5351","0,238",330400
330300 Miracema,"0,713","0,5084","0,241",330300
330090 Cambuci,"0,691","0,4756","0,242",330090
330120 Carmo,"0,696","0,4818","0,242",330120
330310 Natividade,"0,73","0,5233","0,244",330310
330110 Cantagalo,"0,709","0,497","0,246",330110
330260 Mangaratiba,"0,753","0,5321","0,247",330260
330470 Santo Antônio de Pádua,"0,718","0,5226","0,248",330470
330030 Barra do Piraí,"0,733","0,5234","0,249",330030
330130 Casimiro de Abreu,"0,726","0,4967","0,252",330130
330290 Miguel Pereira,"0,745","0,5602","0,252",330290
330180 Engenheiro Paulo de Frontin,"0,722","0,4607","0,253",330180
330205 Italva,"0,688","0,4775","0,253",330205
330430 Rio Bonito,"0,71","0,5023","0,255",330430
330513 São José de Ubá,"0,652","0,4652","0,255",330513
330520 São Pedro da Aldeia,"0,712","0,5165","0,258",330520
330010 Angra dos Reis,"0,724","0,5293","0,259",330010
330280 Mendes,"0,736","0,4938","0,259",330280
330050 Bom Jardim,"0,66","0,4951","0,262",330050
330380 Paraty,"0,693","0,5375","0,262",330380
330440 Rio Claro,"0,683","0,5228","0,264",330440
330070 Cabo Frio,"0,735","0,5579","0,265",330070
330060 Bom Jesus do Itabapoana,"0,732","0,5709","0,266",330060
330245 Macuco,"0,703","0,5203","0,266",330245
330530 São Sebastião do Alto,"0,646","0,4289","0,268",330530
330540 Sapucaia,"0,675","0,511","0,273",330540
330410 Porciúncula,"0,697","0,572","0,274",330410
330500 São João da Barra,"0,671","0,5102","0,28",330500
330515 São José do Vale do Rio Preto,"0,66","0,4835","0,28",330515
330615 Varre-Sai,"0,659","0,4446","0,28",330615
330240 Macaé,"0,764","0,5664","0,281",330240
330160 Duas Barras,"0,659","0,453","0,283",330160
330550 Saquarema,"0,709","0,5383","0,284",330550
330140 Conceição de Macabu,"0,712","0,4924","0,287",330140
330020 Araruama,"0,718","0,5495","0,288",330020
330200 Itaguaí,"0,715","0,5004","0,289",330200
330390 Petrópolis,"0,745","0,5675","0,29",330390
330455 Rio de Janeiro,"0,799","0,6391","0,29",330455
330460 Santa Maria Madalena,"0,668","0,4933","0,29",330460
330395 Pinheiral,"0,715","0,5378","0,293",330395
330022 Areal,"0,684","0,487","0,295",330022
330320 Nilópolis,"0,753","0,4805","0,295",330320
330230 Laje do Muriaé,"0,668","0,4778","0,297",330230
330360 Paracambi,"0,72","0,4718","0,298",330360
330415 Quissamã,"0,704","0,5402","0,3",330415
330100 Campos dos Goytacazes,"0,716","0,5756","0,303",330100
330080 Cachoeiras de Macacu,"0,7","0,5077","0,31",330080
330270 Maricá,"0,765","0,5098","0,313",330270
330285 Mesquita,"0,737","0,4919","0,318",330285
330093 Carapebus,"0,713","0,4413","0,323",330093
330385 Paty do Alferes,"0,671","0,5702","0,324",330385
330570 Sumidouro,"0,611","0,4743","0,325",330570
330590 Trajano de Moraes,"0,667","0,5204","0,332",330590
330490 São Gonçalo,"0,739","0,461","0,334",330490
330510 São João de Meriti,"0,719","0,462","0,336",330510
330115 Cardoso Moreira,"0,648","0,4698","0,337",330115
330560 Silva Jardim,"0,654","0,5072","0,357",330560
330185 Guapimirim,"0,698","0,5232","0,364",330185
330555 Seropédica,"0,713","0,4835","0,365",330555
330350 Nova Iguaçu,"0,713","0,5141","0,366",330350
330170 Duque de Caxias,"0,711","0,4875","0,369",330170
330475 São Francisco de Itabapoana,"0,639","0,521","0,377",330475
330250 Magé,"0,709","0,5082","0,381",330250
330190 Itaboraí,"0,693","0,4967","0,385",330190
330045 Belford Roxo,"0,684","0,4606","0,387",330045
330414 Queimados,"0,68","0,4584","0,397",330414
330575 Tanguá,"0,654","0,4615","0,404",330575
330227 Japeri,"0,659","0,4578","0,437",330227