Municipio,not_tuberc,pop2010,CODIBGE_com6
330010 Angra dos Reis,514,169511,330010
330015 Aperibé,17,10213,330015
330020 Araruama,242,112008,330020
330022 Areal,10,11423,330022
330023 Armação dos Búzios,77,27560,330023
330025 Arraial do Cabo,90,27715,330025
330030 Barra do Piraí,145,94778,330030
330040 Barra Mansa,344,177813,330040
330045 Belford Roxo,2156,469332,330045
330050 Bom Jardim,18,25333,330050
330060 Bom Jesus do Itabapoana,117,35411,330060
330070 Cabo Frio,574,186227,330070
330080 Cachoeiras de Macacu,119,54273,330080
330090 Cambuci,30,14827,330090
330100 Campos dos Goytacazes,989,463731,330100
330110 Cantagalo,20,19830,330110
330093 Carapebus,19,13359,330093
330115 Cardoso Moreira,6,12600,330115
330120 Carmo,36,17434,330120
330130 Casimiro de Abreu,45,35347,330130
330095 Comendador Levy Gasparian,30,8180,330095
330140 Conceição de Macabu,45,21211,330140
330150 Cordeiro,29,20430,330150
330160 Duas Barras,19,10930,330160
330170 Duque de Caxias,5458,855048,330170
330180 Engenheiro Paulo de Frontin,46,13237,330180
330185 Guapimirim,146,51483,330185
330187 Iguaba Grande,45,22851,330187
330190 Itaboraí,862,218008,330190
330200 Itaguaí,356,109091,330200
330205 Italva,22,14063,330205
330210 Itaocara,27,22899,330210
330220 Itaperuna,251,95841,330220
330225 Itatiaia,49,28783,330225
330227 Japeri,538,95492,330227
330230 Laje do Muriaé,20,7487,330230
330240 Macaé,595,206728,330240
330245 Macuco,6,5269,330245
330250 Magé,1103,227322,330250
330260 Mangaratiba,120,36456,330260
330270 Maricá,326,127461,330270
330280 Mendes,50,17935,330280
330285 Mesquita,853,168376,330285
330290 Miguel Pereira,50,24642,330290
330300 Miracema,83,26843,330300
330310 Natividade,38,15082,330310
330320 Nilópolis,922,157425,330320
330330 Niterói,1785,487562,330330
330340 Nova Friburgo,263,182082,330340
330350 Nova Iguaçu,3900,796257,330350
330360 Paracambi,421,47124,330360
330370 Paraíba do Sul,72,41084,330370
330380 Paraty,113,37533,330380
330385 Paty do Alferes,31,26359,330385
330390 Petrópolis,580,295917,330390
330395 Pinheiral,55,22719,330395
330400 Piraí,67,26314,330400
330410 Porciúncula,47,17760,330410
330411 Porto Real,25,16592,330411
330412 Quatis,21,12793,330412
330414 Queimados,717,137962,330414
330415 Quissamã,25,20242,330415
330420 Resende,241,119769,330420
330430 Rio Bonito,193,55551,330430
330440 Rio Claro,16,17425,330440
330450 Rio das Flores,13,8561,330450
330452 Rio das Ostras,254,105676,330452
330455 Rio de Janeiro,36642,6320446,330455
330460 Santa Maria Madalena,7,10321,330460
330470 Santo Antônio de Pádua,80,40589,330470
330480 São Fidélis,53,37543,330480
330475 São Francisco de Itabapoana,48,41354,330475
330490 São Gonçalo,3630,999728,330490
330500 São João da Barra,40,32747,330500
330510 São João de Meriti,2634,458673,330510
330513 São José de Ubá,7,7003,330513
330515 São José do Vale do Rio Preto,29,20251,330515
330520 São Pedro da Aldeia,166,87875,330520
330530 São Sebastião do Alto,13,8895,330530
330540 Sapucaia,45,17525,330540
330550 Saquarema,175,74234,330550
330555 Seropédica,230,78186,330555
330560 Silva Jardim,48,21349,330560
330570 Sumidouro,18,14900,330570
330575 Tanguá,81,30732,330575
330580 Teresópolis,253,163746,330580
330590 Trajano de Moraes,12,10289,330590
330600 Três Rios,192,77432,330600
330610 Valença,82,71843,330610
330615 Varre-Sai,7,9475,330615
330620 Vassouras,80,34410,330620
330630 Volta Redonda,647,257803,330630